Image,PSNR,SSIM
669.png,22.65151726808795,0.795352758366516
547.png,18.80402686507577,0.7479883202723605
1.png,17.23360234227826,0.738505082674238
748.png,20.098966905849494,0.7663980293103735
55.png,14.160195737183814,0.7197834306005239
778.png,18.87051620522909,0.616246365502914
23.png,14.433644938384626,0.7062310288607238
111.png,17.847624651128122,0.7925347969929794
146.png,21.872134912443492,0.7765384330054431
493.png,15.582872581103933,0.5253133360301482
22.png,18.874850538918807,0.7981126975367133
780.png,16.823262063114136,0.6604993471985413
79.png,20.7406774472567,0.8378219580775518
179.png,13.994389849022772,0.6012216718533552
665.png,20.316195390700933,0.738742195149133
